,sentence,label,score
204, california has also instituted zev regulations governing medium  and heavy duty vehicles  beginning with the  model year,Social,0.5582751631736755
209, regulations  directives  and related legislation limit the amount of regulated pollutants that may be emitted by new motor vehicles and engines sold in the eu and the united kingdom,Environmental,0.9863091707229614
210, regulatory stringency has increased significantly with the application of stage vi emission standards  first introduced in   and the implementation of a laboratory test cycle for co and emissions and the introduction of on road emission testing using portable emission analyzers  real driving emission or  rde  ,Environmental,0.9924227595329284
211, these on road emission tests are in addition to the laboratory based tests  first introduced in  ,Environmental,0.9890867471694946
212, the divergence between the regulatory limit that is tested in laboratory conditions and the allowed values measured in rde tests will ultimately be reduced to zero as the regulatory demands increase,Environmental,0.5048390626907349
213, in addition  new requirements for tailpipe and non tailpipe emissions will be included in the upcoming euro  regulation  and the lead time for engineering and type approval may potentially be too short,Environmental,0.9797534346580504
214, the costs associated with complying with all of these requirements are significant  and following the eu commission s indication of its intent to accelerate emissions rules in its road map publication  eu green deal  as well as the eu sustainable mobility action plan  these challenges will continue in european markets  including the united kingdom,Environmental,0.9716572761535645
215, in addition  the whole vehicle type approval   wvta   regulation has been updated to increase the stringency of in market surveillance,Social,0.8205207586288452
218, there is an increasing trend of city access restrictions for internal combustion engine powered vehicles,Environmental,0.9729301929473876
221, in an effort to support the paris accord  some countries are adopting yearly increases in co taxes  where such a system is in place  and publishing dates by when internal combustion powered vehicles may no longer be registered  e,Environmental,0.441253662109375
224, many countries  in an effort to address air quality and climate change concerns  are adopting previous versions of european or united nations economic commission for europe   un ece   mobile source emission regulations,Environmental,0.9918199777603148
227, for example  the china stage vi light duty vehicle emission standards  based on european stage vi emission standards for light duty vehicles  u,Environmental,0.9833975434303284
228, evaporative and refueling emissions standards  and carb obd ii requirements  incorporate two levels of stringency for tailpipe emissions,Environmental,0.9922243356704712
229, under the level one  vi a   standard  which is currently in place nationwide in china  the emissions limits are comparable to the eu stage vi limits  except for carbon monoxide  which is   lower than the eu stage vi limit,Environmental,0.9897224307060242
230, the more stringent level two  vi b   standard s emissions limits are approximately    lower than the eu stage vi limits  depending on the pollutant,Environmental,0.9915485978126526
231, while level two  vi b   is not slated for nationwide implementation until july   the government has encouraged the more economically developed cities and provinces to pull ahead implementation,Social,0.964501142501831
232, for example  beijing  shanghai  tianjin  hebei province  and guangdong province have all begun implementing level two  vi b  ,Social,0.9236785769462584
233, both china stage vii light duty vehicle and heavy duty vehicle emission regulations are currently under pre study  and the ministry of ecology and environment has advised that the stage vii regulations will have more stringent limits on pollutant emissions and will establish limits for greenhouse gas  primarily co  tailpipe emissions,Environmental,0.9925398230552672
234, in south america  most countries are evolving to implement more stringent requirements accepting europe and u,Social,0.8673217296600342
235, regulations  except brazil  which has a unique local process called proconve based on u,Social,0.9812350869178772
237, business  continued  canadian criteria emissions regulations are largely aligned with u,Environmental,0.987751603126526
238, requirements  however  the existing zev regulations in quebec and those published in british columbia in july  are more stringent than those in place in california,Social,0.4015653133392334
240, the federal government has published draft light duty zev sales requirements through an amendment to the passenger automobile and light truck greenhouse gas emission regulations and has also published its intent to develop zev sales requirements for heavy duty vehicles,Environmental,0.9804625511169434
241, other provinces have signaled their interest in light duty zev sales regulations but are awaiting the finalization of the federal zev regulations,Social,0.7285784482955933
242, elsewhere  there is a mix of regulations and processes based on u,Social,0.8430253267288208
243, and eu standards,Governance,0.6032989025115967
244, not all countries have adopted appropriate fuel quality standards to accompany the stringent emission standards adopted,Environmental,0.9915655851364136
245, this could lead to compliance problems  particularly if obd or in use surveillance requirements are implemented,Governance,0.7580537796020508
246, global developments,Social,0.7153457403182983
247, in recent years  epa and carb have increased their focus on the use of  defeat devices,Environmental,0.7344220280647278
248,  defeat devices are elements of design  typically embedded in software  that improperly cause the emission control system to function less effectively during normal on road driving than during an official laboratory emissions test  without justification,Environmental,0.9914113283157348
249, they are prohibited by law in many jurisdictions  and we do not use defeat devices in our vehicles,Social,0.914223313331604
250, regulators around the world continue to scrutinize automakers  emission testing  which has led to a number of defeat device settlements by various manufacturers,Environmental,0.9841175079345704
251, epa is carrying out additional non standard tests as part of its vehicle certification program,Social,0.5692625045776367
252, carb has also been conducting extensive non standard emission tests  which in some cases have resulted in certification delays for diesel vehicles,Environmental,0.9902225732803344
253, in the past  several european countries have conducted non standard emission tests and published the results  and  in some cases  this supplemental testing has triggered investigations of manufacturers for possible defeat devices,Environmental,0.98405784368515
256, vehicle fuel economy and greenhouse gas standards u,Environmental,0.9926224946975708
258, federal law requires that light duty vehicles meet minimum corporate average fuel economy   cafe   standards set by the national highway traffic safety administration   nhtsa  ,Environmental,0.7421678304672241
261, epa also regulates vehicle greenhouse gas   ghg   emissions under the clean air act,Environmental,0.9905434250831604
262, because the vast majority of ghgs emitted by a vehicle are the result of fuel combustion  ghg emission standards are similar to fuel economy standards,Environmental,0.991324782371521
263, thus  nhtsa and epa coordinate with each other on their fuel economy and ghg standards  respectively  to avoid potential inconsistencies,Environmental,0.9917013049125672
264, beginning with the  model year  epa and nhtsa jointly promulgated harmonized ghg and fuel economy regulations under what came to be known as the  one national program    onp   framework,Environmental,0.9902427792549132
265, california  which had promulgated its own state specific set of ghg regulations  agreed that compliance with the federal program would satisfy compliance with its own ghg requirements  thereby avoiding a patchwork of potentially conflicting federal and state ghg standards,Environmental,0.9793241024017334
266, onp has required manufacturers to achieve increasingly stringent year over year standards,Social,0.8630033135414124
268, in   epa introduced significantly less stringent fuel economy and ghg standards applicable to model years  ,Environmental,0.9911574125289916
269, the federal government also revoked california s authority to set and enforce its own vehicle ghg standards  as well as the authority of other states that opted in to california s standards,Environmental,0.9857954978942872
270, california continued to assert its authority to regulate vehicle ghgs  challenged in court the federal government s preemption actions  withdrew from onp  and planned to return to enforcing its own state specific ghg standards,Environmental,0.9872265458106996
272, to avoid a  bifurcated  regulatory scenario in which california and the  other states that adopted california s ghg standards enforce one set of rules  while a different set of rules applies in the rest of the country  ford reached an agreement with california on a set of terms for an alternative framework in which ford committed to meet a designated set of standards on a national basis in lieu of the california regulatory program,Environmental,0.9749552011489868
273, this framework enabled ford to continue its product planning on a nationwide basis  while being consistent with ford s environmental goals,Environmental,0.9910388588905334
275, in   epa again re evaluated the stringency of light duty fuel economy and ghg standards through the  model year  and considered whether to restore the stringency to the previous onp levels  or greater,Environmental,0.9920251369476318
276, epa finalized this evaluation in december   establishing ghg standards applicable to model years   with stringency that exceeded onp levels,Environmental,0.9884823560714722
277, in   nhtsa finalized more stringent fuel economy standards for model years    which are substantially aligned with epa s ghg standards,Environmental,0.992056667804718
278, the federal government also acted in december  to repeal its rule blocking california s authority to set and enforce its own vehicle ghg standards  as well as the authority of other states that adopted california s standards  and epa took similar action in early  under the clean air act,Environmental,0.977123498916626
279, in late   epa began consideration of sweeping changes to light duty ghg regulations for model years  and beyond,Environmental,0.989534556865692
280, these regulations are expected to extend through at least the  model year  and to drive significant zev sales mix  along with rapid improvement of ice vehicle performance  by virtue of greatly increased stringency,Environmental,0.7248350977897644
285, epa and nhtsa have jointly promulgated ghg and fuel economy standards for heavy duty vehicles  generally  vehicles over   pounds gross vehicle weight rating  through the  model year  and epa is preparing a major update to these standards for the  model year and beyond,Environmental,0.989022970199585
289, the european union regulates passenger car and light commercial vehicle co emissions using sliding scales with different co targets for each manufacturer based on the respective average vehicle weight for its fleet of vehicles first registered in a calendar year  with separate targets for passenger cars and light commercial vehicles,Environmental,0.9805532097816468
290, a penalty system applies to manufacturers failing to meet the individual co targets,Social,0.5533567070960999
295, the initial target levels get significantly more stringent every five years      and   after which all new vehicles must be zero emission   requiring significant investments in propulsion technologies and extensive fleet management forcing low co emissions,Environmental,0.9920346140861512
297, the eu commission is investigating the introduction of real driving co and life cycle assessment elements  and heavy duty vehicles are addressed in separate regulations with analogous requirements and challenges,Social,0.9422706961631776
298, as discussed above  the eu commission has announced a  green deal  that is likely to trigger more stringent requirements for co emissions  including stricter co fleet regulations  and other regulated emissions and include recycling and substance restrictions,Environmental,0.9922826886177064
299, while the eu commission targets net climate neutrality by  and a more ambitious  interim target  a   instead of   co reduction compared to    several countries  such as germany  have adopted stricter interim targets and earlier net climate neutrality targets,Environmental,0.989586055278778
302, business  continued  the united nations developed a technical regulation for passenger car emissions and co,Environmental,0.9868531227111816
303, this world light duty test procedure   wltp   is focused primarily on better aligning laboratory co and fuel consumption figures with customer  reported figures,Environmental,0.9693410992622375
304, the introduction of wltp in europe started in september  and requires updates to co labeling  thereby impacting taxes in countries with a co tax scheme as well as co fleet regulations for passenger cars and light commercial vehicles,Social,0.5928031206130981
306, some european countries have implemented or are considering other initiatives for reducing co vehicle emissions  including fiscal measures and co labeling to address country specific targets associated with the paris accord,Environmental,0.9899677038192748
307, for example  the united kingdom  france  germany  spain  portugal  and the netherlands  among others  have introduced taxation based on co emissions,Environmental,0.988821506500244
309, in addition  delayed vehicle launches and supply shortages  as well as an insufficient charging infrastructure and lower demand for zev and low co emission vehicles as certain electric vehicle incentives are reduced  can trigger compliance risks in all european markets,Environmental,0.6344355940818787
311, the canadian federal government regulates vehicle ghg emissions under the canadian environmental protection act,Environmental,0.9893887639045716
312, in october   the canadian federal government published the final changes to the regulation for light duty vehicles  which maintain alignment with u,Social,0.8110284209251404
313, epa vehicle ghg standards for the   model years,Environmental,0.9868049621582032
314, epa standards were automatically adopted in canada by reference for the   model years  and draft amendments for a few standalone administrative elements not automatically adopted by reference were published in december ,Environmental,0.480347603559494
315, the heavy duty vehicle and engine ghg emissions regulations for the  model year and beyond were published in may  and are in line with u,Environmental,0.9862539768218994
317, china s corporate average fuel consumption and new energy vehicle   nev   credit administrative rules contain fuel consumption requirements as well as credit mandates for nev passenger vehicles  i,Environmental,0.9873825907707214
318,  plug in hybrids  battery electric vehicles  or fuel cell vehicles,Environmental,0.8498513102531433
319, the fuel consumption requirement uses a weight based approach to establish targets  with year over year target reductions,Environmental,0.9897059202194214
320, china set a target of ,Social,0.9063121676445008
321,l km for the  passenger vehicle industry fuel consumption fleet average  which lowers to ,Environmental,0.95064115524292
323, the government is projecting a further fuel consumption reduction in   and is targeting ,Environmental,0.988886535167694
329, vehicle safety u,Social,0.9685239791870116
331, the national traffic and motor vehicle safety act of   the  safety act   regulates vehicles and vehicle equipment in two primary ways,Social,0.973349928855896
332, first  the safety act prohibits the sale in the united states of any new vehicle or equipment that does not conform to applicable vehicle safety standards established by nhtsa,Social,0.600773811340332
333, meeting or exceeding many safety standards is costly and has continued to evolve as global compliance and public domain  e,Social,0.949928879737854
334,  new car assessment programs   ncaps    insurance institute for highway safety   iihs    requirements continue to evolve  are increasing in demands  and lack harmonization globally,Social,0.9763719439506532
335, as we expand our business priorities to include autonomous vehicles and broader mobility products and services  our financial exposure has increased,Social,0.96732759475708
336, second  the safety act requires that defects related to motor vehicle safety be remedied through safety recall campaigns,Social,0.9839547872543336
337, a manufacturer is obligated to recall vehicles if it determines the vehicles do not comply with a safety standard,Social,0.9774463772773744
340, the eu has established vehicle safety standards and regulations and is likely to adopt additional or more stringent requirements in the future  especially in the areas of access to in vehicle data  artificial intelligence  and autonomous vehicles,Social,0.9717179536819458
342, business  continued  the european general safety regulation   gsr   introduced un ece regulations  which are required for the european type approval process,Social,0.5329671502113342
343, the gsr includes the mandatory introduction of multiple active and passive safety features  including cybersecurity requirements for new vehicle models from  and for all registrations in ,Social,0.9773205518722534
344, eu regulators are focusing on active safety features  such as lane departure warning systems  electronic stability control  and automatic brake assist,Social,0.984993577003479
345, furthermore  mobile network providers in certain eu member states have begun shutting down their g and g networks  which form the basis for e call system functionality in existing vehicles,Social,0.472006231546402
349, globally  governments generally have been adopting un ece based regulations with minor variations to address local concerns,Social,0.9809641242027284
350, any difference between north american and un ece based regulations can add complexity and costs to the development of global platform vehicles  and we continue to support efforts to harmonize regulations to reduce vehicle design complexity while providing a common level of safety performance  several on going bilateral negotiations on free trade can potentially contribute to this goal,Social,0.9714689254760742
351, safety and recall requirements in brazil  china  india  south korea  and gulf cooperation council   gcc   countries may add substantial costs and complexity to our global recall practice,Social,0.979224979877472
352, brazil has set mandatory fleet safety targets and penalties are applied if these levels are not maintained  while a tax reduction may be available for over performance,Social,0.9727522730827332
353, in canada  regulatory requirements are currently aligned with u,Social,0.6000597476959229
354, regulations  however  under the canadian motor vehicle safety act  the minister of transport has broad powers to order manufacturers to submit a notice of defect or non compliance when the minister considers it to be in the interest of safety,Social,0.8879806995391846
355, in   canada started preliminary consultations on several new proposed regulations  including administrative monetary penalties   amps   and analysis of technical information for vehicles and equipment   active   regulations,Social,0.9609768390655518
357, in china  a new mandatory event data recorder regulation that is more comprehensive than u,Social,0.8312035202980042
358, requirements has been released  and in china  malaysia  and south korea  mandatory e call requirements are being drafted,Social,0.6846438050270081
359, e call is mandatory in the uae for new vehicles starting with the  model year  and in saudi arabia from the  model year,Social,0.8064412474632263
360, new car assessment programs,Social,0.9571978449821472
361, organizations around the world rate and compare motor vehicles in ncaps to provide consumers and businesses with additional information about the safety of new vehicles,Social,0.9704511761665344
362, ncaps use crash tests and other evaluations that are different than what is required by applicable regulations  and use stars to rate vehicle safety  with five stars awarded for the highest rating and one for the lowest,Social,0.9826465845108032
363, achieving high ncap ratings  which may vary by country or region  can add complexity and cost to vehicles,Social,0.7913642525672913
364, similarly  environmental rating systems exist in various regions  e,Environmental,0.9850333333015442
365,  green ncap in europe,Environmental,0.8819217681884766
367, further  the china insurance auto safety index  similar to iihs  has been implemented  with higher standards for passenger and pedestrian protection and driver assistance technologies,Social,0.9897206425666808
368, these protocols impose additional requirements relating to testing  evaluation  and mandatory safety features  and compliance with them  or any subsequent updates to them  may be costly,Governance,0.3927385210990906
369, business  continued  human capital resources people strategy and governance we strive to create an employee experience that enables an inclusive environment of excellence  focus  and collaboration among team members  allowing us to deliver short  and long term business success,Social,0.9619665741920472
370, ford maintains an executive people forum consisting of the ceo and top leadership team that meets monthly with a specific focus on people and organizational topics that will enable and accelerate delivery of the business plan,Social,0.7624374032020569
371, key topic areas include compensation   retention  diversity  equity  and inclusion   dei    organization design  talent planning   development  and culture,Social,0.701410710811615
372, our board of directors and board committees provide important oversight on certain human capital matters  including items discussed at the executive people forum,Governance,0.8960094451904297
373, the compensation  talent and culture committee maintains responsibility to review  discuss  and set strategic direction for various people related business strategies  including  compensation and benefit programs  leadership succession planning  culture  dei  and talent development programs,Governance,0.5364304780960083
374, the sustainability  innovation and policy committee is responsible for discussing and advising management on maintaining and improving sustainability strategies  the implementation of which creates value consistent with the long term preservation and enhancement of shareholder value and social wellbeing  including human rights  working conditions  and responsible sourcing,Social,0.9594140648841858
375, the collective recommendations to the board and its committees are how we proactively manage our human capital and create an employee experience that allows employees and our organization to thrive,Social,0.9268293976783752
376, diversity  equity  and inclusion at ford  we believe that creating a culture of inclusion for all our employees is both foundational to achieving our ford  plan and the right thing to do,Social,0.8008726835250854
377, ford offers  employee resource groups   ergs   that represent various dimensions of our employee population  including racial  ethnic  gender  religious  sexual orientation and gender identity  ability  and generational communities with chapters throughout the world  in addition to ford advocacy for belonging   fab   councils in every region,Social,0.9909965991973876
378, our ergs and fab councils are instrumental in providing a voice to our globally diverse workforce as well as sharing valuable insights into the development of products  services  and experiences,Social,0.9894501566886902
379, our business has developed dei action plans specific to each region s unique needs and culture,Social,0.9540387392044068
380, from an enterprise perspective  we have taken several concrete steps to further these efforts  including embedding dei into our corporate strategy and governance  ensuring that revisions to employee expected behaviors enable an inclusive culture  and establishing objectives for progress for every salaried employee,Social,0.8184676170349121
381, this holistic dei strategy includes a strong focus on racial equity  growing representation of diverse talent throughout the pipeline  and dei education,Social,0.984339952468872
383,  of our salaried employees worldwide are females  excludes certain employees in europe in accordance with the european union s general data protection regulation   ,Social,0.935874044895172
384,  of our total salaried and hourly employees in the united states are females  and ,Social,0.9842575788497924
385,  of our total salaried and hourly employees in the united states are minorities,Social,0.9723044037818908
386, talent attraction  growth  and capability assessment the workplace is quickly evolving  and new working practices are constantly developing,Social,0.9900318384170532
387, many employees are no longer bound to physical locations  where and how we source our talent is evolving  and employee expectations have shifted,Social,0.9777241349220276
389,  software  electrification  and data science ,Social,0.8096356987953186
390, ford continues to accelerate its efforts to attract new employees with diverse skill sets and capabilities  and more resources have been dedicated to recruiting these employees  who are critical to supporting our business model,Social,0.9762939810752868
391, from a capability perspective  we are leveraging best practices in assessments and talent management to strengthen our current capabilities and future pipeline while reinforcing a culture of belonging  collaboration  empowerment  and innovation,Social,0.9793744087219238
392, the performance management process is reviewed regularly to ensure we set clear expectations  measure individual performance  and reward appropriately,Governance,0.6981051564216614
393, we are also creating targeted learning experiences  democratizing learning and career development opportunities across the organization  and empowering employees to design their own career paths with skill development targeted for the roles of today and the future,Social,0.9892499446868896
394, business  continued  finally  the extent to which our people leaders are equipped to care for  inspire  and empower our people plays a vital role in our strategy  and we are committed to helping our leaders strengthen these capabilities with dedicated learning paths and non traditional learning opportunities,Social,0.9905739426612854
395, our leadership  mechanism for developing people leaders guides how we think about performance management and how we assess our talent to meet our organizational needs,Social,0.948136866092682
396, leadership  will continue to prepare and empower our people leaders to lead our teams through significant change at our company and in our industry,Social,0.9543606638908386
397, employee health and safety nothing is more important than the health  safety  and wellbeing of our employees  and we consistently strive to achieve world class levels of safety through the application of sound policies and best practices,Social,0.982846200466156
398, we maintain a robust safety culture to reduce workplace injuries  supported by effective communication  reporting  and external benchmarking,Social,0.9874539375305176
399, we verify compliance with regulatory requirements as well as our internal safety standards and regularly report to company management on key safety issues  including significant incidents and high potential near misses  to prevent recurrences,Social,0.9501583576202391
400, we also participate in multi industry groups  within and outside the automotive sector  to share safety best practices and collaborate to address common issues,Social,0.9893388152122498
401, our safety record any loss of life or serious injury in the workplace is unacceptable and deeply regretted,Social,0.98325115442276
402, unfortunately  there were two fatal incidents in  in our china region,Social,0.9666911959648132
403, another key safety indicator is our global lost time case rate   ltcr    which is defined as the number of cases where one or more working days is lost due to work related injury illness per   hours worked,Social,0.9826000332832336
406, we will continue our efforts to reduce workplace injuries,Social,0.9788851141929626
407, employee wellbeing initiatives our global  holistic approach to wellbeing encompasses the financial  social  mental emotional  physical  and professional needs of our employees,Social,0.9889752864837646
408, foundational to our wellbeing philosophy is providing a broad array of resources and solutions to educate employees  build capability  and meet individual and organizational wellbeing needs and goals,Social,0.990876853466034
409, wellbeing is an integral part of our total rewards strategy as we work to address business and employee challenges through a multi channel approach that provides our diverse populations and global regions flexibility and choice to meet their specific needs,Social,0.9906361699104308
410, we use data driven insights gathered through surveys  focus groups  and claims data to understand employee needs and prioritize our wellbeing efforts,Social,0.986198663711548
411, we provide global wellbeing programs  such as employee assistance programs and mindfulness sessions  among other things,Social,0.9913376569747924
412, in addition  we provide employees with experiences  self guided tools  and social connection opportunities  as well as access to the professional support and resources they need to achieve their own sense of wellbeing,Social,0.98966646194458
413, we are committed to creating an environment where employees and people leaders care for each other as we deliver ford ,Social,0.9360793828964232
414, employee sentiment strategy we leverage our ask listen observe framework to understand employee sentiment at ford,Social,0.9136270880699158
415, this approach is a holistic and consistent methodology that enables us to understand how employees are feeling in real time and act accordingly,Social,0.9603874683380128
416, our measurement focuses on several areas that are key to our business  employee mental and emotional wellbeing  health   safety  employee experience  culture  dei  leadership  and strategic alignment,Social,0.9874469637870787
417, our employee sentiment surveys guide the actions we take to address employee concerns and related risks  and also help us understand whether our efforts to drive change in these areas are effective,Social,0.9430014491081238
418, a critical element of our measurement program is ensuring that data ends up in the hands of those who are best positioned to drive meaningful change,Social,0.9299980998039246
419, to this end  leaders at all levels have access to dashboards with data from their teams and organizations  as well as personalized next step recommendations embedded into action planning tools,Social,0.9769734740257264
420, our measurement approach is also used to inform our areas of focus as an organization and to evaluate the effectiveness of talent initiatives across the enterprise,Social,0.7637999057769775
422, substantially all of the hourly employees in our automotive operations are represented by unions and covered by collective bargaining agreements,Social,0.8945872187614441
423, in the united states  approximately   of these unionized hourly employees in our automotive segment are represented by the international union  united automobile  aerospace and agricultural implement workers of america   uaw  or  united auto workers  ,Social,0.947923481464386
424, at december     approximately   hourly employees in the united states were represented by the uaw,Social,0.9365211129188538
427, we face various risks related to public health issues  including epidemics  pandemics  and other outbreaks  including the global outbreak of covid ,Social,0.974247932434082
429, there have been extraordinary actions taken by international  federal  state  and local public health and governmental authorities to contain and combat the outbreak and spread of covid  in regions throughout the world  including travel bans  quarantines   stay at home  orders  and similar mandates for many individuals to substantially restrict daily activities and for many businesses to curtail or cease normal operations,Social,0.9813815355300904
430, for example  in   consistent with the actions taken by governmental authorities  we idled our manufacturing operations in regions around the world before ultimately resuming our manufacturing operations taking a phased approach and after introducing new safety protocols at our plants,Social,0.985645592212677
431, to the extent cases surge in any locations  stringent limitations on daily activities that may have been eased previously could be reinstated in those areas,Social,0.9411677122116088
433, moreover  outbreaks in certain regions continue to cause intermittent disruptions in our supply chain and local manufacturing operations,Social,0.9537550806999208
439, for example  the duration of a suspension of manufacturing operations and a return to our full production schedule will depend  in part  on not only a sufficient number of employees being able to return to work but also whether our suppliers and dealers have resumed normal operations,Social,0.8483765125274658
451,  lithium  cobalt  nickel  graphite  and manganese  used by our suppliers to produce those batteries,Environmental,0.9762425422668456
452, as we increase our production of electric vehicles  we expect our need for such materials to increase significantly,Environmental,0.9716892838478088
460,  lithium  cobalt  nickel  graphite  and manganese  among others,Environmental,0.8174487948417664
470, ford  is focused on delivering distinctive and increasingly electric products plus  always on  customer relationships and user experiences,Social,0.8741875290870667
471, our ford  plan is designed to leverage our foundational strengths to build new capabilities   enriching customer experiences and deepening loyalty,Social,0.942100703716278
473, to facilitate this transformation  we are making substantial investments  recruiting new talent  and optimizing our business model  management system  and organization,Social,0.9641444087028505
478, government safety standards require manufacturers to remedy defects related to vehicle safety through safety recall campaigns  and a manufacturer is obligated to recall vehicles if it determines that the vehicles do not comply with a safety standard,Social,0.9782455563545228
480, nhtsa s enforcement strategy has resulted in significant civil penalties being levied and the use of consent orders requiring direct oversight by nhtsa of certain manufacturers  safety processes  a trend that could continue,Social,0.4395756125450134
483, for example  nhtsa and the automotive industry are currently engaged in a study of the safety of approximately  million takata desiccated airbag inflators in the united states,Social,0.94770085811615
507, such incidents could materially disrupt operational systems  result in loss of trade secrets or other proprietary or competitively sensitive information  compromise the privacy of personal information of consumers  employees  or others  jeopardize the security of our facilities  affect the performance of in vehicle systems or services we offer  and or impact the safety of our vehicles,Social,0.6152905225753784
508, this risk exposure rises as we continue to develop and produce vehicles with increased connectivity,Social,0.7586376667022705
520, given the worldwide scope of our supply chain and operations  we and our suppliers face a risk of disruption or operating inefficiencies that may increase costs due to the adverse physical effects of climate change  which are predicted to increase the frequency and severity of weather and other natural events  e,Environmental,0.7986050844192505
521,  wildfires  extended droughts  and extreme temperatures,Environmental,0.9600895643234252
524, such suppliers also could threaten to disrupt our production as leverage in negotiations,Social,0.6261915564537048
528, accordingly  a significant disruption to our production schedule could have a substantial adverse effect on our financial condition or results of operations and may impact our strategy to comply with fuel economy standards as discussed below under  ford may need to substantially modify its product plans and facilities to comply with safety  emissions  fuel economy  autonomous driving technology  environmental  and other regulations,Environmental,0.8063538670539856
530, the vast majority of the hourly employees in our ford blue and ford model e manufacturing operations in the united states and canada are represented by unions and covered by collective bargaining agreements,Social,0.8391379714012146
531,  these agreements provide guaranteed wage and benefit levels throughout the contract term and some degree of income security  subject to certain conditions,Social,0.6567108631134033
533, a substantial number of our employees in other regions are represented by unions or government councils  and legislation or custom promoting retention of manufacturing or other employment in the state  country  or region may constrain as a practical matter our ability to sell or close manufacturing or other facilities,Social,0.958556056022644
534, ford s ability to attract and retain talented  diverse  and highly skilled employees is critical to its success and competitiveness,Social,0.6497817635536194
535, our success depends on our ability to continue to recruit and retain talented and diverse employees who are highly skilled in engineering  software  technology  including digital capabilities and connectivity   marketing  and finance  among other areas,Social,0.7662486433982849
536, competition for such employees is intense  which has led to an increase in compensation throughout a tight labor market  and  accordingly  may increase costs for employers,Social,0.8556812405586243
537, we have struggled to hire and retain salaried  skilled hourly  and production hourly employees in some of our manufacturing and parts  supplies  and logistics locations,Social,0.9771157503128052
